Entry,Atom Type,Neighbours,Contribution,Occurrences,Molecules,SMARTS,pi,fnc
296,Crippen N11,SMARTS 1,0.3541257424334455,432,215,[n+0],,
297,Crippen N12,SMARTS 1,0.0,0,0,"[n;+,+2,+3]",,
298,Crippen N13,SMARTS 1,0.0,0,0,"[NH0;+,+2,+3]([A;!#1])([A;!#1])([A;!#1])[A;!#1]",,
299,Crippen N13,SMARTS 2,0.019826973149772987,180,119,"[NH0;+,+2,+3](=[A;!#1])([A;!#1])[!#1;A,a]",,
300,Crippen N13,SMARTS 3,0.0,0,0,"[NH0;+,+2,+3](=[#6])=[#7]",,
301,Crippen N14,SMARTS 1,0.0,0,0,"[N;+,+2,+3]#[A;!#1]",,
302,Crippen N14,SMARTS 2,0.0,0,0,"[N;-,-2,-3]",,
303,Crippen N14,SMARTS 3,0.0,0,0,"[N;+,+2,+3](=[N;-,-2,-3])=N",,
304,Crippen NS,SMARTS 1,0.303622744283368,1159,627,[#7],,
305,Crippen O1,SMARTS 1,0.10536454240113663,53,53,[o],,
306,Crippen O2,SMARTS 1,0.787250604249607,334,290,"[OH,OH2]",,
307,Crippen O3,SMARTS 1,0.07927656437872115,695,436,[O]([A;!#1])[A;!#1],,
308,Crippen O4,SMARTS 1,0.20492906480232537,484,388,"[O](a)[!#1;A,a]",,
309,Crippen O5,SMARTS 1,0.09530480792798347,193,132,"[O]=[#7,#8]",,
310,Crippen O5,SMARTS 2,0.019826973149772987,180,119,"[OX1;-,-2,-3][#7]",,
311,Crippen O6,SMARTS 1,0.0,0,0,"[OX1;-,-2,-2][#16]",,
312,Crippen O6,SMARTS 2,0.4146145449861374,67,36,[O;-0]=[#16;-0],,
313,Crippen O12,SMARTS 1,0.0,0,0,[O-]C(=O),,
314,Crippen O7,SMARTS 1,0.0,0,0,"[OX1;-,-2,-3][!#1;!N;!S]",,
315,Crippen O8,SMARTS 1,0.4140677054951464,37,32,[O]=c,,
316,Crippen O9,SMARTS 1,0.10064056317737326,14,14,[O]=[CH]C,,
317,Crippen O9,SMARTS 2,0.24028509843147705,307,266,[O]=C(C)([A;!#1]),,
318,Crippen O9,SMARTS 3,0.022596779580211473,7,7,"[O]=[CH][N,O]",,
319,Crippen O9,SMARTS 4,-0.008327451124994405,1,1,[O]=[CH2],,
320,Crippen O9,SMARTS 5,0.0,0,0,[O]=[CX2]=O,,
321,Crippen O10,SMARTS 1,0.3793965954833799,13,13,[O]=[CH]c,,
322,Crippen O10,SMARTS 2,0.12711506434602052,34,26,"[O]=C([C,c])[a;!#1]",,
323,Crippen O10,SMARTS 3,0.3157345506665832,108,90,[O]=C(c)[A;!#1],,
324,Crippen O11,SMARTS 1,-0.05622520259104567,99,92,[O]=C([!#1;!#6])[!#1;!#6],,
325,Crippen OS,SMARTS 1,0.19181534935039324,2656,1213,[#8],,
326,Crippen F,SMARTS 1,-0.16735141951439775,592,142,[#9-0],,
327,Crippen Cl,SMARTS 1,0.23202744285715501,2329,739,[#17-0],,
328,Crippen Br,SMARTS 1,0.4649173130321936,479,189,[#35-0],,
329,Crippen I,SMARTS 1,0.9758655779706276,19,17,[#53-0],,
330,Crippen Hal,SMARTS 1,0.0,0,0,"[#9,#17,#35,#53;-]",,
331,Crippen Hal,SMARTS 2,0.0,0,0,"[#53;+,+2,+3]",,
332,Crippen Hal,SMARTS 3,0.0,0,0,"[+;#3,#11,#19,#37,#55]",,
333,Crippen P,SMARTS 1,0.6498594783718851,110,107,[#15],,
334,Crippen S2,SMARTS 1,0.0,0,0,"[S;-,-2,-3,-4,+1,+2,+3,+5,+6]",,
335,Crippen S2,SMARTS 2,0.20039516239274108,126,90,"[S-0]=[N,O,P,S]",,
336,Crippen S1,SMARTS 1,0.1412003536696678,224,171,[S;A],,
337,Crippen S3,SMARTS 1,0.8984699614299547,27,25,[s;a],,
338,Crippen Me1,SMARTS 1,0.0,0,0,"[#3,#11,#19,#37,#55]",,
339,Crippen Me1,SMARTS 2,0.0,0,0,"[#4,#12,#20,#38,#56]",,
340,Crippen Me1,SMARTS 3,0.0,0,0,"[#5,#13,#31,#49,#81]",,
341,Crippen Me1,SMARTS 4,0.048145529552715234,33,15,"[#14,#32,#50,#82]",,
342,Crippen Me1,SMARTS 5,0.0,0,0,"[#33,#51,#83]",,
343,Crippen Me1,SMARTS 6,0.0,0,0,"[#34,#52,#84]",,
344,Crippen Me2,SMARTS 1,0.0,0,0,"[#21,#22,#23,#24,#25,#26,#27,#28,#29,#30]",,
345,Crippen Me2,SMARTS 2,0.0,0,0,"[#39,#40,#41,#42,#43,#44,#45,#46,#47,#48]",,
346,Crippen Me2,SMARTS 3,0.0,0,0,"[#72,#73,#74,#75,#76,#77,#78,#79,#80]",,
