Entry,Atom Type,Neighbours,Contribution,Occurrences,Molecules,SMARTS,pi,fnc
208,N sp3,CS2,-0.12224403888055173,5,5,[NH0$([#7]([CX4])([CX4])[#16])],,
209,N sp3,CS2(pi),0.6195622781454021,7,6,[NH0$([#7]([#6])([#6])[#16])],1.0,
210,N sp2,H=C,-0.05915233180080464,18,14,"[NH1$([#7]=,:[#6])]",,
211,N sp2,C=C,-0.10415906563429553,81,80,"[NH0$([#7]([#6])=,:[#6])]",,
212,N sp2,C=N,0.7034277466849422,4,3,"[NH0$([#7]([#6])=,:[#7])]",,
213,N sp2,=CN,1.258874373215124,33,33,"[NH0$([#7](=,:[#6])[#7])]",,
214,N sp2,C=N(+),-3.0337536696713165,1,1,[N$([#7]([#6])=[N+])],,
215,N sp2,=CN(+),-1.6413825925881476,2,2,"[NH0$([#7](=,:[#6])[N+])]",,
216,N sp2,=CO,-0.16105301420385024,38,37,"[NH0$([#7](=,:[#6])[#8])]",,
217,N sp2,C=O,-0.06598351434957223,238,201,[NH0$([#7]([#6])=[#8])],,
218,N sp2,=CS,0.142310137040405,2,2,"[NH0$([#7](=,:[#6])[#16])]",,
219,N sp2,N=N,-0.2398876299128143,1,1,"[NH0$([#7]([#7])=,:[#7])]",,
220,N sp2,N=O,0.261729910945265,42,39,[NH0$([#7]([#7])=[#8])],,
221,N aromatic,C2:C(+),0.0,0,0,[n$(n(C)(C)[c+])],,
222,N aromatic,:C2,-0.06576051670840222,758,481,[n$(n(c)c)],,
223,N aromatic,:C:N,0.044868332104203046,126,60,[n$(n(c)n)],,
224,N(+) sp3,H3C,-1.239835449468515,26,26,[NH3+$([#7][#6])],,
225,N(+) sp3,H2C2,0.42173966127629575,5,5,[NH2+$([#7]([#6])[#6])],,
226,N(+) sp3,HC3,1.3408374641020397,1,1,[NH1+$([#7]([#6])([#6])[#6])],,
227,N(+) sp3,C4,0.6840565489473261,1,1,[NH0+$([#7]([#6])([#6])([#6])[#6])],,
228,N(+) sp2,C=CO(-),0.0,0,0,"[NH0+$([#7][#6](=,:[#6])[O-])]",,
229,N(+) sp2,CO=O(-),0.0,0,0,[NH0+$([#7]([#6])([#8])=[O-])],,
230,N(+) sp2,NO=O(-),0.0,0,0,[NH0+$([#7]([#7])([#8])=[O-])],,
231,N(+) sp2,O2=O(-),0.0,0,0,[NH0+$([#7]([#8])([#8])=[O-])],,
232,N(+) aromatic,H:C2,0.15504640179055998,3,3,[nH1+$(n(c)c)],,
233,N(+) aromatic,C:C2,-1.5202063503227168,7,6,[nH0+$(n([#6])(c)c)],,
234,N(+) aromatic,:C2O(-),0.2372555612683583,19,19,[nH0+$(n(c)(c)[O-])],,
235,N(+) sp,=C=N(-),1.5319360652074119,1,1,"[NH0+$([#7](=,:[#6])=[N-])]",,
236,N(+) sp,=N2(-),0.0,0,0,[NH0+$([#7](=[N-])=[N-])],,
237,O,HC,-0.3881267457495823,483,345,[OH1$([#8][CX4])],0.0,
238,O,HC(pi),0.024586959402755914,627,557,[OH1$([#8][#6])],1.0,
239,O,HN,0.06531115717200246,11,11,[OH1$([#8][#7])],0.0,
240,O,HN(pi),-0.24196364849701432,7,7,[OH1$([#8][#7])],1.0,
241,O,C2,-0.13689372446213774,157,116,[OH0$([#8]([CX4])[CX4])],0.0,
242,O,C2(pi),0.12110431690173241,726,588,[OH0$([#8]([#6])[#6])],1.0,
243,O,C2(2pi),0.09772170155825322,262,242,[OH0$([#8]([#6])[#6])],2.0,
244,O,CN,0.14512400751725282,3,3,[OH0$([#8]([CX4])[#7])],0.0,
245,O,CN(pi),0.4535799898255588,59,33,[OH0$([#8]([#6])[#7])],1.0,
246,O,CN(+)(pi),0.10940636733402387,55,29,[OH0$([#8]([#6])[#7+])],1.0,
247,O,CN(2pi),0.10063135063088484,4,3,[OH0$([#8]([#6])[#7])],2.0,
248,O,CS,0.31754785736757585,10,5,[OH0$([#8]([CX4])[#16])],0.0,
249,O,CS(pi),0.31317137710770027,3,3,[OH0$([#8]([#6])[#16])],1.0,
250,O,CP,0.06352023858649901,133,69,[OH0$([#8]([CX4])[#15])],0.0,
251,O,CP(pi),-0.2000941133308358,36,26,[OH0$([#8]([#6])[#15])],1.0,
252,O,CSi,-0.13459412210807586,8,2,[OH0$([#8]([CX4])[#14])],,
253,O,N2(2pi),0.0,0,0,[OH0$([#8]([#7])[#7])],2.0,
254,O,NP(pi),-2.2970026859003525,14,14,[OH0$([#8]([#7])[#15])],1.0,
255,O,Si2,0.6433417516926937,18,4,[OH0$([#8]([#14])[#14])],,
256,S2,HC,0.510193957527151,14,12,[SH1$([#16][CX4])],,
257,S2,HC(pi),0.09645575351416422,30,30,[SH1$([#16][#6])],1.0,
258,S2,C2,1.029065580248885,74,67,[SX2H0$([#16]([#6])[#6])],0.0,
259,S2,C2(pi),0.9073571488816949,44,44,[SX2H0$([#16]([#6])[#6])],1.0,
260,S2,C2(2pi),0.9270730366580103,21,20,[SX2H0$([#16]([#6])[#6])],2.0,
261,S2,CN,0.45089027644900004,3,3,[SX2H0$([#16]([CX4])[#7])],0.0,
262,S2,CN(2pi),0.0,0,0,[vX2H0$([#16]([#6])[#7])],2.0,
263,S2,CS,0.517018497867717,6,2,[SX2H0$([#16]([CX4])[#16])],0.0,
264,S2,CS(pi),0.0,0,0,[SX2H0$([#16]([#6])[#16])],1.0,
265,S2,CP,0.5306648609443079,17,15,[SX2H0$([#16]([CX4])[#15])],0.0,
266,S2,CP(pi),0.04514451037681481,3,2,[SX2H0$([#16]([#6])[#15])],1.0,
267,S2,N2,-3.5036359430458694,2,2,[SX2H0$([#16]([#7])[#7])],0.0,
268,S2,N2(2pi),0.0,0,0,[SX2H0$([#16]([#7])[#7])],2.0,
269,S4,C2=O,0.3004812054105615,16,16,[SX4H0$([#16]([#6])([#6])=[#8])],,
270,S4,C2=O2,0.3004812054105615,16,16,[SX4H0$([#16]([#6])([#6])(=[#8])=[#8])],,
271,S4,CO=O2,-0.08046655697151078,2,1,[SX4H0$([#16]([#6])([#8])(=[#8])=[#8])],,
272,S4,CN=O2,0.4542869785781243,85,80,[SX4H0$([#16]([#6])([#7])(=[#8])=[#8])],,
273,S4,C=O2F,1.3675431991511637,2,2,[SX4H0$([#16]([#6])(=[#8])(=[#8])F)],,
274,S4,NO=O2,0.31317137710770027,3,3,[SX4H0$([#16]([#7])([#8])(=[#8])=[#8])],,
275,S4,N2=O2,1.2120267576477601,5,5,[SX4H0$([#16]([#7])([#7])(=[#8])=[#8])],,
276,S4,O2=O,0.18566835582562002,2,2,[SX4H0$([#16]([#8])([#8])=[#8])],,
277,S4,O2=O2,0.18566835582562002,2,2,[SX4H0$([#16]([#8])([#8])(=[#8])=[#8])],,
278,S4,O2=O2(-),0.0,0,0,[SX4H0$([#16]([#8])([#8])(=[O-])=[O-])],,
279,P4,CO2=O,-0.36264656959502567,2,2,[PX4H0$([#15]([#6])([#8])([#8])=[#8])],,
280,P4,CO2=S,0.34790279459072665,1,1,[PX4H0$([#15]([#6])([#8])([#8])=[#16])],,
281,P4,CO=OS,-1.6455280271184554,1,1,[PX4H0$([#15]([#6])([#8])(=[#8])[#16])],,
282,P4,CO=OF,-0.4227546729123528,3,3,[PX4H0$([#15]([#6])([#8])(=[#8])F)],,
283,P4,COS=S,0.4361986719285985,1,1,[PX4H0$([#15]([#6])([#8])(=[#16])[#16])],,
284,P4,O3=O,-0.5377487401914591,32,30,[PX4H0$([#15]([#8])([#8])([#8])=[#8])],,
285,P4,O3=S,0.9215798415543578,18,18,[PX4H0$([#15]([#8])([#8])([#8])=[#16])],,
286,P4,O2S=S,1.0418016470688016,12,11,[PX4H0$([#15]([#8])([#8])([#16])=[#16])],,
287,P4,O=OS2,0.22356648039377788,2,2,[PX4H0$([#15]([#8])([#16])(=[#8])[#16])],,
288,P4,N3=O,0.14854987933915398,1,1,[PX4H0$([#15]([#7])([#7])([#7])=[#8])],,
289,P4,N2O=O,-0.05317034588881562,2,2,[PX4H0$([#15]([#7])([#7])([#8])=[#8])],,
290,P4,NO=OS,-1.4515796206554237,2,2,[PX4H0$([#15]([#7])([#8])(=[#8])[#16])],,
291,Si,C4,1.537055447590866,1,1,[#14$([#14]([#6])([#6])([#6])[#6])],,
292,Si,C3O,-0.22289990808612387,2,1,[#14$([#14]([#6])([#6])([#6])[#8])],,
293,Si,C2O2,0.16409664327884074,18,5,[#14$([#14]([#6])([#6])([#8])[#8])],,
294,Si,O4,-0.5383764884323035,2,2,[#14$([#14]([#8])([#8])([#8])[#8])],,
295,Halide,,0.35697661411786963,20,20,,,_count_halide
296,H,H Acceptor,0.08349353920605636,1247,1247,,,_count_h_acceptor
297,(COH)n,n > 1,0.11807655149173171,181,102,,,_count_coh
298,(COOH)n,n > 1,-0.01953930765171678,26,25,,,_count_cooh
299,Alkane,No. of C atoms,0.08115010056358214,242,25,,,_count_alkane_carbons
300,Unsaturated HC,No. of C atoms,0.030487353683865754,1584,135,,,_count_unsaturated_hc_carbons
301,Endocyclic bonds,No. of single bds,-0.0935957406422582,2295,457,,,_count_endocyclic_single_bonds
302,Crippen C1,SMARTS 1,0.3246276166387046,1,1,[CH4],,
303,Crippen C1,SMARTS 2,0.13422313799442942,2162,1221,[CH3]C,,
304,Crippen C1,SMARTS 3,0.16599159702000338,2909,898,[CH2](C)C,,
305,Crippen C2,SMARTS 1,0.13536039162615954,342,205,[CH](C)(C)C,,
306,Crippen C2,SMARTS 2,0.11821554020380758,110,80,[C](C)(C)(C)C,,
307,Crippen C3,SMARTS 1,-0.15340302312128015,834,564,"[CH3][N,O,P,S,F,Cl,Br,I]",,
308,Crippen C3,SMARTS 2,-0.02632238194510006,1702,993,"[CH2X4]([N,O,P,S,F,Cl,Br,I])[A;!#1]",,
309,Crippen C4,SMARTS 1,0.012425896002938905,742,420,"[CH1X4]([N,O,P,S,F,Cl,Br,I])([A;!#1])[A;!#1]",,
310,Crippen C4,SMARTS 2,0.19277559406550446,216,175,"[CH0X4]([N,O,P,S,F,Cl,Br,I])([A;!#1])([A;!#1])[A;!#1]",,
311,Crippen C5,SMARTS 1,-0.14039729267453513,1855,1394,[C]=[!C;A;!#1],,
312,Crippen C6,SMARTS 1,0.07390203865065863,96,87,[CH2]=C,,
313,Crippen C6,SMARTS 2,0.09617500309066863,327,216,[CH1](=C)[A;!#1],,
314,Crippen C6,SMARTS 3,0.17720954503142014,181,124,[CH0](=C)([A;!#1])[A;!#1],,
315,Crippen C6,SMARTS 4,0.0,0,0,[C](=C)=C,,
316,Crippen C7,SMARTS 1,-0.1882795289988885,203,197,[CX2]#[A;!#1],,
317,Crippen C8,SMARTS 1,-0.01733021658936993,434,317,[CH3]c,,
318,Crippen C9,SMARTS 1,0.10993344386943593,480,347,[CH3]a,,
319,Crippen C10,SMARTS 1,-0.025418393276908726,417,366,[CH2X4]a,,
320,Crippen C11,SMARTS 1,-0.008013647363829297,178,147,[CHX4]a,,
321,Crippen C12,SMARTS 1,-0.01940597925500932,131,111,[CH0X4]a,,
